ticker,event_time,initialPriceDate,dropDate,dropPercentage,initialPrice,lastPrice
AMD,2023-05-12 17:02:08.119,1/4/2021,2/22/2021,8.921412,92.3,84.74
AMD,2023-05-12 17:02:09.559,2/24/2021,3/3/2021,11.819939,86.94,77.75
AMD,2023-05-12 17:02:09.957,3/11/2021,5/11/2021,8.829051,81.23,74.64
AMD,2023-05-12 17:02:12.817,6/30/2021,7/15/2021,9.360812,93.93,85.89
AMD,2023-05-12 17:02:13.657,8/3/2021,8/17/2021,8.8167,112.56,103.44
AMD,2023-05-12 17:02:14.357,8/27/2021,9/17/2021,9.699654,111.4,101.55
AMD,2023-05-12 17:02:16.217,11/8/2021,12/8/2021,8.7328005,150.16,138.1
AMD,2023-05-12 17:02:17.257,12/15/2021,1/6/2022,10.984848,146.5,132.0
AMD,2023-05-12 17:02:17.897,1/10/2022,1/20/2022,11.101762,132.0,118.81
AMD,2023-05-12 17:02:18.257,1/24/2022,1/26/2022,13.576999,116.53,102.6
AMD,2023-05-12 17:02:18.597,2/4/2022,2/10/2022,9.206572,123.6,113.18
AMD,2023-05-12 17:02:18.837,2/14/2022,3/4/2022,10.995629,114.27,102.95
AMD,2023-05-12 17:02:19.637,3/16/2022,4/5/2022,11.285815,115.37,103.67
AMD,2023-05-12 17:02:20.237,4/7/2022,4/11/2022,9.064146,103.72,95.1
AMD,2023-05-12 17:02:20.377,4/13/2022,4/20/2022,8.7813015,97.74,89.85
AMD,2023-05-12 17:02:20.917,5/4/2022,5/6/2022,15.122739,99.42,86.36
AMD,2023-05-12 17:02:21.237,5/17/2022,5/19/2022,9.593584,102.47,93.5
AMD,2023-05-12 17:02:21.537,5/27/2022,6/10/2022,17.553747,102.26,86.99
